topic_numbers: [2, 30] (step 2)
chunksize: [20, 40, 60, 80, 100]
passes: [10, 20, 40, 80]
Num Topics: 20, Chucksize: 100, Passes: 80, Coherence Score: 0.4091814964005388
Num Topics: 2, Chucksize: 60, Passes: 80, Coherence Score: 0.408169251254008
Num Topics: 10, Chucksize: 60, Passes: 20, Coherence Score: 0.40753136042214616
Num Topics: 28, Chucksize: 100, Passes: 40, Coherence Score: 0.4073220475840902
Num Topics: 26, Chucksize: 100, Passes: 10, Coherence Score: 0.4069451465938215
Num Topics: 26, Chucksize: 100, Passes: 40, Coherence Score: 0.4066718679171981
Num Topics: 10, Chucksize: 80, Passes: 80, Coherence Score: 0.4064061598986126
Num Topics: 28, Chucksize: 100, Passes: 20, Coherence Score: 0.4061001793836887
Num Topics: 24, Chucksize: 100, Passes: 40, Coherence Score: 0.4045767069698543
Num Topics: 4, Chucksize: 100, Passes: 20, Coherence Score: 0.4031359017027729
Num Topics: 24, Chucksize: 100, Passes: 80, Coherence Score: 0.4028330261016037
Num Topics: 24, Chucksize: 100, Passes: 20, Coherence Score: 0.4027713196567926
Num Topics: 12, Chucksize: 20, Passes: 20, Coherence Score: 0.4023664178872024
Num Topics: 2, Chucksize: 100, Passes: 80, Coherence Score: 0.40229107184369906
Num Topics: 4, Chucksize: 80, Passes: 20, Coherence Score: 0.4022808317751754
Num Topics: 2, Chucksize: 20, Passes: 10, Coherence Score: 0.4016411222877643
Num Topics: 28, Chucksize: 80, Passes: 10, Coherence Score: 0.4015147455442626
Num Topics: 12, Chucksize: 20, Passes: 10, Coherence Score: 0.40076249197898167
Num Topics: 24, Chucksize: 100, Passes: 10, Coherence Score: 0.3998776315968349
Num Topics: 8, Chucksize: 60, Passes: 10, Coherence Score: 0.3997035615796203
Num Topics: 28, Chucksize: 80, Passes: 20, Coherence Score: 0.398794184800928
Num Topics: 12, Chucksize: 20, Passes: 40, Coherence Score: 0.39825004279219045
Num Topics: 22, Chucksize: 80, Passes: 10, Coherence Score: 0.3982471905026412
Num Topics: 26, Chucksize: 80, Passes: 40, Coherence Score: 0.3981743163122445
Num Topics: 10, Chucksize: 60, Passes: 80, Coherence Score: 0.397980824265671
Num Topics: 2, Chucksize: 100, Passes: 40, Coherence Score: 0.39745024896140135
Num Topics: 4, Chucksize: 80, Passes: 10, Coherence Score: 0.39720770644480974
Num Topics: 10, Chucksize: 100, Passes: 10, Coherence Score: 0.39714865571833896
Num Topics: 26, Chucksize: 80, Passes: 80, Coherence Score: 0.39686726084523066
Num Topics: 26, Chucksize: 80, Passes: 20, Coherence Score: 0.39665264890759766
Num Topics: 10, Chucksize: 100, Passes: 40, Coherence Score: 0.39625433515421926
Num Topics: 2, Chucksize: 80, Passes: 40, Coherence Score: 0.3960542517416785
Num Topics: 22, Chucksize: 100, Passes: 20, Coherence Score: 0.39599448071797827
Num Topics: 6, Chucksize: 80, Passes: 10, Coherence Score: 0.3958324241771689
Num Topics: 2, Chucksize: 20, Passes: 40, Coherence Score: 0.39574761941130043
Num Topics: 2, Chucksize: 80, Passes: 80, Coherence Score: 0.3956847292488931
Num Topics: 12, Chucksize: 20, Passes: 80, Coherence Score: 0.39563947222299284
Num Topics: 24, Chucksize: 60, Passes: 10, Coherence Score: 0.395226442877802
Num Topics: 26, Chucksize: 60, Passes: 20, Coherence Score: 0.39508805642927913
Num Topics: 8, Chucksize: 60, Passes: 20, Coherence Score: 0.394988683731053
Num Topics: 22, Chucksize: 100, Passes: 10, Coherence Score: 0.39487846680599986
Num Topics: 2, Chucksize: 100, Passes: 20, Coherence Score: 0.39470932637582123
Num Topics: 22, Chucksize: 80, Passes: 20, Coherence Score: 0.39466112048732394
Num Topics: 24, Chucksize: 60, Passes: 20, Coherence Score: 0.3945243286093157
Num Topics: 22, Chucksize: 100, Passes: 40, Coherence Score: 0.3940265943926425
Num Topics: 22, Chucksize: 100, Passes: 80, Coherence Score: 0.3934782930241116
Num Topics: 24, Chucksize: 60, Passes: 80, Coherence Score: 0.39274648124511574
Num Topics: 4, Chucksize: 100, Passes: 40, Coherence Score: 0.3921830120771803
Num Topics: 24, Chucksize: 60, Passes: 40, Coherence Score: 0.39192137179549785
Num Topics: 20, Chucksize: 80, Passes: 20, Coherence Score: 0.39182304340217716
Num Topics: 22, Chucksize: 20, Passes: 10, Coherence Score: 0.3909922408338526
Num Topics: 20, Chucksize: 80, Passes: 80, Coherence Score: 0.3906124495576932
Num Topics: 22, Chucksize: 20, Passes: 20, Coherence Score: 0.390466035171891
Num Topics: 8, Chucksize: 100, Passes: 20, Coherence Score: 0.39017988946035903
Num Topics: 22, Chucksize: 20, Passes: 40, Coherence Score: 0.38972160056144156
Num Topics: 26, Chucksize: 80, Passes: 10, Coherence Score: 0.3895840295772031
Num Topics: 20, Chucksize: 80, Passes: 10, Coherence Score: 0.3894886808692403
Num Topics: 22, Chucksize: 20, Passes: 80, Coherence Score: 0.3894708375815752
Num Topics: 10, Chucksize: 20, Passes: 20, Coherence Score: 0.3893325392211525
Num Topics: 10, Chucksize: 20, Passes: 40, Coherence Score: 0.3893325392211525
Num Topics: 14, Chucksize: 60, Passes: 80, Coherence Score: 0.38921495566612935
Num Topics: 28, Chucksize: 20, Passes: 40, Coherence Score: 0.38901222755569786
Num Topics: 10, Chucksize: 20, Passes: 10, Coherence Score: 0.3883153235461668
Num Topics: 20, Chucksize: 80, Passes: 40, Coherence Score: 0.3880495209102741
Num Topics: 4, Chucksize: 80, Passes: 40, Coherence Score: 0.3879100287072227
Num Topics: 28, Chucksize: 20, Passes: 10, Coherence Score: 0.3878321935612225
Num Topics: 26, Chucksize: 60, Passes: 10, Coherence Score: 0.3875250814569707
Num Topics: 2, Chucksize: 100, Passes: 10, Coherence Score: 0.38751177892041966
Num Topics: 24, Chucksize: 80, Passes: 10, Coherence Score: 0.3874838609711622
Num Topics: 6, Chucksize: 60, Passes: 40, Coherence Score: 0.38738989537145563
Num Topics: 10, Chucksize: 100, Passes: 20, Coherence Score: 0.38627417238712747
Num Topics: 26, Chucksize: 20, Passes: 20, Coherence Score: 0.3861974227179608
Num Topics: 14, Chucksize: 60, Passes: 10, Coherence Score: 0.3861192506401397
Num Topics: 28, Chucksize: 20, Passes: 20, Coherence Score: 0.38606813900443987
Num Topics: 12, Chucksize: 40, Passes: 40, Coherence Score: 0.3855549950779829
Num Topics: 26, Chucksize: 60, Passes: 80, Coherence Score: 0.3854646912318774
Num Topics: 24, Chucksize: 80, Passes: 20, Coherence Score: 0.3852742733226753
Num Topics: 14, Chucksize: 60, Passes: 40, Coherence Score: 0.3851967786994935
Num Topics: 28, Chucksize: 20, Passes: 80, Coherence Score: 0.38487482156958025
Num Topics: 26, Chucksize: 20, Passes: 40, Coherence Score: 0.38467940306298204
Num Topics: 24, Chucksize: 80, Passes: 40, Coherence Score: 0.38461761925759336
Num Topics: 16, Chucksize: 40, Passes: 20, Coherence Score: 0.3845492662715929
Num Topics: 24, Chucksize: 80, Passes: 80, Coherence Score: 0.38445803313164345
Num Topics: 26, Chucksize: 20, Passes: 10, Coherence Score: 0.38429924554687706
Num Topics: 8, Chucksize: 60, Passes: 40, Coherence Score: 0.38427398900066156
Num Topics: 28, Chucksize: 60, Passes: 80, Coherence Score: 0.3841751337151192
Num Topics: 26, Chucksize: 60, Passes: 40, Coherence Score: 0.3841698245702712
Num Topics: 16, Chucksize: 40, Passes: 10, Coherence Score: 0.3841427071229827
Num Topics: 22, Chucksize: 80, Passes: 80, Coherence Score: 0.38398125078813644
Num Topics: 28, Chucksize: 60, Passes: 40, Coherence Score: 0.38382114107382276
Num Topics: 22, Chucksize: 80, Passes: 40, Coherence Score: 0.38372137264606
Num Topics: 16, Chucksize: 40, Passes: 40, Coherence Score: 0.3835754240759941
Num Topics: 22, Chucksize: 60, Passes: 20, Coherence Score: 0.38351302715829544
Num Topics: 8, Chucksize: 100, Passes: 10, Coherence Score: 0.38334332678208827
Num Topics: 4, Chucksize: 80, Passes: 80, Coherence Score: 0.3832903186805927
Num Topics: 6, Chucksize: 80, Passes: 20, Coherence Score: 0.38323949094916765
Num Topics: 22, Chucksize: 40, Passes: 80, Coherence Score: 0.3831444960421202
Num Topics: 8, Chucksize: 80, Passes: 80, Coherence Score: 0.383133978276211
Num Topics: 12, Chucksize: 40, Passes: 80, Coherence Score: 0.3830339898655708
Num Topics: 22, Chucksize: 60, Passes: 10, Coherence Score: 0.38296304734946474
Num Topics: 26, Chucksize: 20, Passes: 80, Coherence Score: 0.38285972941289204
Num Topics: 14, Chucksize: 60, Passes: 20, Coherence Score: 0.38277391135649286
Num Topics: 22, Chucksize: 40, Passes: 40, Coherence Score: 0.3826485100645824
Num Topics: 20, Chucksize: 60, Passes: 80, Coherence Score: 0.38262570752170577
Num Topics: 28, Chucksize: 60, Passes: 20, Coherence Score: 0.3822252827244004
Num Topics: 20, Chucksize: 60, Passes: 10, Coherence Score: 0.3819727175696712
Num Topics: 12, Chucksize: 40, Passes: 10, Coherence Score: 0.3818977652619627
Num Topics: 22, Chucksize: 40, Passes: 20, Coherence Score: 0.38174291512231945
Num Topics: 10, Chucksize: 20, Passes: 80, Coherence Score: 0.3817294932064733
Num Topics: 2, Chucksize: 20, Passes: 20, Coherence Score: 0.3814615992855296
Num Topics: 28, Chucksize: 60, Passes: 10, Coherence Score: 0.3812115383578022
Num Topics: 20, Chucksize: 60, Passes: 20, Coherence Score: 0.3811622082064528
Num Topics: 22, Chucksize: 40, Passes: 10, Coherence Score: 0.3810627516661933
Num Topics: 20, Chucksize: 60, Passes: 40, Coherence Score: 0.38105337511179815
Num Topics: 20, Chucksize: 40, Passes: 40, Coherence Score: 0.38091194892123653
Num Topics: 24, Chucksize: 20, Passes: 10, Coherence Score: 0.3806191130758932
Num Topics: 24, Chucksize: 20, Passes: 20, Coherence Score: 0.3806191130758932
Num Topics: 8, Chucksize: 60, Passes: 80, Coherence Score: 0.37958807711561815
Num Topics: 6, Chucksize: 80, Passes: 40, Coherence Score: 0.3795100817876736
Num Topics: 24, Chucksize: 20, Passes: 40, Coherence Score: 0.37950275544034295
Num Topics: 24, Chucksize: 20, Passes: 80, Coherence Score: 0.37950275544034295
Num Topics: 10, Chucksize: 100, Passes: 80, Coherence Score: 0.37891503303761265
Num Topics: 12, Chucksize: 40, Passes: 20, Coherence Score: 0.3784748714746289
Num Topics: 6, Chucksize: 60, Passes: 80, Coherence Score: 0.37836530256928796
Num Topics: 16, Chucksize: 40, Passes: 80, Coherence Score: 0.3782668170362895
Num Topics: 28, Chucksize: 40, Passes: 40, Coherence Score: 0.3778780798196379
Num Topics: 18, Chucksize: 60, Passes: 80, Coherence Score: 0.3777717044473905
Num Topics: 24, Chucksize: 40, Passes: 40, Coherence Score: 0.3776960337289455
Num Topics: 22, Chucksize: 60, Passes: 40, Coherence Score: 0.37743147488223827
Num Topics: 20, Chucksize: 40, Passes: 20, Coherence Score: 0.37737808261231975
Num Topics: 24, Chucksize: 40, Passes: 80, Coherence Score: 0.3772068747819209
Num Topics: 6, Chucksize: 80, Passes: 80, Coherence Score: 0.37713149690899983
Num Topics: 28, Chucksize: 40, Passes: 80, Coherence Score: 0.37681570349668003
Num Topics: 8, Chucksize: 100, Passes: 40, Coherence Score: 0.37623827683580335
Num Topics: 2, Chucksize: 80, Passes: 20, Coherence Score: 0.3762049658808338
Num Topics: 24, Chucksize: 40, Passes: 20, Coherence Score: 0.37616714244156
Num Topics: 8, Chucksize: 80, Passes: 10, Coherence Score: 0.37557575516528496
Num Topics: 18, Chucksize: 40, Passes: 40, Coherence Score: 0.3755603496498828
Num Topics: 20, Chucksize: 40, Passes: 80, Coherence Score: 0.3753066171015416
Num Topics: 22, Chucksize: 60, Passes: 80, Coherence Score: 0.37522338300801006
Num Topics: 20, Chucksize: 40, Passes: 10, Coherence Score: 0.374928929342698
Num Topics: 18, Chucksize: 60, Passes: 10, Coherence Score: 0.3744266194037766
Num Topics: 6, Chucksize: 60, Passes: 10, Coherence Score: 0.37439541653484126
Num Topics: 18, Chucksize: 60, Passes: 20, Coherence Score: 0.37437620599544846
Num Topics: 18, Chucksize: 60, Passes: 40, Coherence Score: 0.374018823670759
Num Topics: 18, Chucksize: 40, Passes: 80, Coherence Score: 0.37401710274253475
Num Topics: 24, Chucksize: 40, Passes: 10, Coherence Score: 0.3736613804451849
Num Topics: 28, Chucksize: 40, Passes: 20, Coherence Score: 0.37361523783002626
Num Topics: 4, Chucksize: 100, Passes: 80, Coherence Score: 0.37339976336454467
Num Topics: 18, Chucksize: 40, Passes: 20, Coherence Score: 0.3731435906191431
Num Topics: 18, Chucksize: 40, Passes: 10, Coherence Score: 0.3725115245287672
Num Topics: 8, Chucksize: 80, Passes: 40, Coherence Score: 0.37205319111021606
Num Topics: 28, Chucksize: 40, Passes: 10, Coherence Score: 0.3720374187882115
Num Topics: 10, Chucksize: 40, Passes: 10, Coherence Score: 0.3719638347208325
Num Topics: 8, Chucksize: 80, Passes: 20, Coherence Score: 0.37101099339500665
Num Topics: 20, Chucksize: 20, Passes: 10, Coherence Score: 0.37034342654753616
Num Topics: 20, Chucksize: 20, Passes: 20, Coherence Score: 0.37034342654753616
Num Topics: 10, Chucksize: 40, Passes: 80, Coherence Score: 0.37012869107728974
Num Topics: 20, Chucksize: 20, Passes: 80, Coherence Score: 0.36867687544982103
Num Topics: 26, Chucksize: 40, Passes: 10, Coherence Score: 0.3680872692626871
Num Topics: 20, Chucksize: 20, Passes: 40, Coherence Score: 0.3680644855481602
Num Topics: 6, Chucksize: 60, Passes: 20, Coherence Score: 0.3678842545575263
Num Topics: 26, Chucksize: 40, Passes: 20, Coherence Score: 0.36786023053407857
Num Topics: 10, Chucksize: 40, Passes: 20, Coherence Score: 0.36778787874647134
Num Topics: 26, Chucksize: 40, Passes: 80, Coherence Score: 0.3674969153848443
Num Topics: 26, Chucksize: 40, Passes: 40, Coherence Score: 0.3668066455519827
Num Topics: 4, Chucksize: 60, Passes: 10, Coherence Score: 0.36591828074572874
Num Topics: 10, Chucksize: 40, Passes: 40, Coherence Score: 0.3641096915719588
Num Topics: 18, Chucksize: 20, Passes: 80, Coherence Score: 0.36265102806544713
Num Topics: 4, Chucksize: 100, Passes: 10, Coherence Score: 0.36246448130021436
Num Topics: 18, Chucksize: 20, Passes: 40, Coherence Score: 0.36204721262216194
Num Topics: 4, Chucksize: 60, Passes: 20, Coherence Score: 0.36174375825089966
Num Topics: 18, Chucksize: 20, Passes: 10, Coherence Score: 0.36087444677322406
Num Topics: 18, Chucksize: 20, Passes: 20, Coherence Score: 0.36053789803510755
Num Topics: 8, Chucksize: 100, Passes: 80, Coherence Score: 0.35938880976507825
